Id,Label,timeset,modularity_class,indegree,outdegree,degree
143719142,,,11,1,0,1
145810272,,,11,1,0,1
145811126,,,11,1,0,1
138431755,,,11,1,0,1
126118075,,,11,1,0,1
145809197,,,11,1,0,1
120212266,,,11,1,0,1
144293069,,,11,1,0,1
143646539,,,11,1,0,1
141428767,,,11,1,0,1
143621136,,,11,1,0,1
131560544,,,11,1,0,1
123002927,,,11,1,0,1
143571882,,,11,1,0,1
115657523,,,11,1,0,1
143640922,,,11,1,0,1
143636997,,,11,1,0,1
143665602,,,11,1,0,1
133433152,,,11,1,0,1
143634461,,,11,1,0,1
aixiaoke,,,11,21,0,21
MovieL,,,11,38,0,38
oldmanriver,,,11,8,0,8
vcd,,,11,8,0,8
selfgrowing,,,11,2,0,2
gopngyi,,,11,1,0,1
1961170,,,11,1,0,1
norra,,,11,1,0,1
andrewyu,,,11,1,0,1
wanpi,,,11,1,0,1
141388999,,,11,1,0,1
143027491,,,11,1,0,1
123268770,,,11,1,0,1
83358579,,,11,0,19,19
misscatcatcat,,,11,1,0,1
diewithme,,,11,5,0,5
yimaxxduck,,,8,8,0,8
149113392,,,8,5,0,5
52882108,,,11,2,0,2
Merlynnnnn,,,11,1,0,1
126327216,,,11,1,0,1
amberose,,,11,8,0,8
154158422,,,11,2,0,2
cctongxue,,,11,2,0,2
3934738,,,11,3,0,3
82315282,,,11,1,0,1
2529927,,,8,4,0,4
35669304,,,11,1,0,1
youngjunxian,,,11,1,0,1
143759484,,,11,1,0,1
love_martin26,,,11,1,0,1
4324337,,,11,1,0,1
127813455,,,11,1,0,1
BettyLuu,,,33,0,8,8
51610855,,,33,2,0,2
147681591,,,33,3,0,3
95805238,,,11,11,0,11
3196047,,,33,2,0,2
wangxxno1,,,33,4,0,4
60638807,,,33,1,0,1
mia630,,,33,1,0,1
63228477,,,33,1,0,1
141330429,,,2,0,11,11
157190289,,,2,1,0,1
157120820,,,2,1,0,1
144608397,,,2,1,0,1
wy19960122,,,2,1,0,1
57940836,,,2,1,0,1
141479537,,,2,1,0,1
97824403,,,2,1,0,1
145335127,,,2,1,0,1
141579526,,,2,1,0,1
63476723,,,2,1,0,1
asdfghjmydkycdn,,,2,1,0,1
152281142,,,8,0,7,7
32141290,,,8,2,0,2
123430710,,,8,1,0,1
49395554,,,8,4,0,4
75409582,,,8,4,0,4
47540698,,,8,1,0,1
153287930,,,8,1,0,1
149570359,,,8,0,25,25
Huabenye,,,8,1,0,1
jhz,,,8,2,0,2
tieliuwudi,,,8,4,0,4
156422207,,,8,1,0,1
150478195,,,8,2,0,2
47901030,,,8,2,0,2
132352403,,,8,4,0,4
chenbolin,,,8,7,0,7
CandyDollee,,,8,2,0,2
155637963,,,8,3,0,3
54767000,,,8,1,0,1
141404336,,,8,1,0,1
152854918,,,8,2,0,2
rosvita,,,8,1,0,1
bagualaile,,,11,4,0,4
MoNoMilky,,,8,1,0,1
firo,,,8,5,0,5
hachinn,,,8,2,0,2
straw_berry,,,8,1,0,1
dearnaicha,,,8,4,0,4
142796332,,,8,1,0,1
sophia_yang,,,33,0,162,162
134720760,,,33,1,0,1
CrusaderTan,,,33,2,0,2
lijiayi,,,33,1,0,1
133645138,,,33,1,0,1
wqyi,,,33,1,0,1
3503430,,,33,1,0,1
xiaopapi,,,33,14,0,14
56767696,,,33,1,0,1
89964042,,,33,1,0,1
70399742,,,33,1,0,1
nan_sheep,,,33,1,0,1
daisyluoying,,,33,1,0,1
3535619,,,33,1,0,1
78319514,,,8,3,0,3
CyanRose04,,,33,2,0,2
sq77277,,,33,1,0,1
luxiling,,,33,1,0,1
ArkiHuang,,,33,1,0,1
dic8023angelic,,,33,1,0,1
84300774,,,33,1,0,1
56675268,,,33,1,0,1
linulaoyao,,,33,1,0,1
qingeee,,,33,1,0,1
yanshudetudou,,,33,5,0,5
71261105,,,33,1,0,1
78400036,,,33,1,0,1
uncleglass,,,33,1,0,1
em0n,,,33,1,0,1
73530078,,,33,1,0,1
fiona0616,,,33,1,0,1
blacktea077,,,33,12,0,12
zhangjiawei,,,29,20,0,20
65281554,,,33,3,0,3
meiyang,,,33,10,0,10
66689025,,,33,1,0,1
61056962,,,33,1,0,1
4221013,,,33,1,0,1
mmmaommmao,,,33,1,0,1
amble-eyes,,,33,1,0,1
meiya,,,33,1,0,1
antony0411,,,33,5,0,5
39297766,,,33,1,0,1
4621084,,,33,1,0,1
54584685,,,33,1,0,1
warmtoday,,,33,1,0,1
2448094,,,33,1,0,1
52173140,,,33,1,0,1
lilithcookie,,,33,1,0,1
can_not,,,33,1,0,1
God_CleAn,,,33,1,0,1
46040157,,,33,1,0,1
majest77,,,33,1,0,1
Donut_sun,,,33,1,0,1
guyi,,,33,13,0,13
53632493,,,33,1,0,1
tianzhimomo,,,33,1,0,1
smileface_,,,33,1,0,1
45261554,,,33,1,0,1
daisychen1942,,,33,5,0,5
GodCookery,,,11,7,0,7
lovejany,,,11,5,0,5
tomisay,,,33,2,0,2
8496623,,,33,1,0,1
jarofhearts,,,33,1,0,1
31312391,,,33,1,0,1
45616108,,,33,1,0,1
Kevin_fan520,,,33,1,0,1
Johnhero,,,33,1,0,1
yongbaowo,,,33,1,0,1
Lije,,,33,6,0,6
2986977,,,33,1,0,1
linzhu,,,33,2,0,2
journeylovegood,,,33,1,0,1
valetime,,,33,8,0,8
quaterfoil,,,11,5,0,5
vonwang,,,33,1,0,1
kidear,,,33,1,0,1
52932312,,,33,1,0,1
manic88,,,33,1,0,1
haruko1112,,,33,2,0,2
LOGO1210,,,33,1,0,1
48439756,,,33,1,0,1
45877296,,,33,2,0,2
xiaochen729,,,33,1,0,1
bigrice0419,,,33,1,0,1
elvina,,,33,1,0,1
bellabaa,,,33,1,0,1
daodai89,,,33,1,0,1
51387596,,,33,1,0,1
yyy18n,,,33,8,0,8
musiqsoulchild,,,33,1,0,1
coolkihe,,,33,1,0,1
zeajin,,,33,8,0,8
49125877,,,33,1,0,1
cynfishnb,,,33,1,0,1
jdx,,,33,1,0,1
laterlynn,,,33,1,0,1
51427045,,,33,1,0,1
ztiti,,,33,3,0,3
46884979,,,33,1,0,1
nadianhong,,,33,1,0,1
may0510,,,33,1,0,1
yeguxing,,,33,1,0,1
36568130,,,33,1,0,1
ahbei,,,33,18,0,18
iridescentme,,,33,1,0,1
micheal1912,,,33,1,0,1
hebellalpselina,,,33,1,0,1
51087297,,,33,1,0,1
cainelee,,,33,1,0,1
olivesayhi,,,33,1,0,1
36442804,,,33,1,0,1
qiuchisb,,,33,1,0,1
43957427,,,33,1,0,1
ismm,,,33,1,0,1
47858561,,,33,1,0,1
48073343,,,33,1,0,1
maxineY,,,11,4,0,4
49393373,,,33,1,0,1
49629676,,,33,1,0,1
hugobook,,,33,1,0,1
49442146,,,33,1,0,1
Mmzshuo,,,33,1,0,1
yummy2khalil,,,33,1,0,1
wang-xiaoya,,,9,2,0,2
Hello17,,,33,1,0,1
ruchu,,,33,1,0,1
lilith_H,,,33,1,0,1
47114145,,,33,1,0,1
terdoor,,,33,1,0,1
unicornsweety,,,33,1,0,1
ppdgt,,,33,1,0,1
sw051029,,,33,1,0,1
mushro,,,33,1,0,1
lulu329,,,33,1,0,1
qianniaogezi,,,33,1,0,1
yingyuxuan720,,,33,1,0,1
baixiaoyi,,,33,1,0,1
4731149,,,33,1,0,1
35802266,,,33,1,0,1
gtt723,,,33,1,0,1
muxin0214,,,33,1,0,1
lovein1991alice,,,33,1,0,1
beibei0129,,,33,1,0,1
childhooder,,,33,1,0,1
szduanzu,,,33,1,0,1
43081214,,,33,1,0,1
doubanclock,,,11,4,0,4
42254421,,,33,1,0,1
choudao,,,33,1,0,1
gaoxiaotuo,,,33,1,0,1
Jimme,,,33,1,0,1
4485228,,,33,1,0,1
1641616,,,33,1,0,1
29295954,,,33,1,0,1
pengpengpig,,,33,1,0,1
3205568,,,33,1,0,1
44618327,,,33,1,0,1
wuye2011,,,33,1,0,1
dalaoshi9999,,,33,1,38,39
hansongluo,,,33,8,0,8
4607872,,,33,2,0,2
veverlee,,,11,12,0,12
CheninBlanc,,,33,4,0,4
50627907,,,33,1,0,1
feifeiyu,,,33,7,0,7
68674832,,,33,2,0,2
slowwitter,,,33,4,0,4
155901765,,,33,1,0,1
suicide13,,,33,2,0,2
huangye3,,,33,6,0,6
68025190,,,33,1,0,1
66625050,,,33,1,0,1
36527592,,,33,1,0,1
89531759,,,33,1,0,1
57944109,,,33,1,0,1
ljgyhj,,,33,2,0,2
flowermumu,,,33,11,0,11
dreamernation,,,33,3,0,3
81965947,,,33,3,0,3
mackalex,,,11,18,0,18
alexcite,,,11,3,0,3
80797429,,,33,3,0,3
132032689,,,33,1,0,1
148167690,,,33,1,0,1
124561493,,,33,1,0,1
115221020,,,33,1,0,1
130298129,,,33,2,0,2
nimamui,,,33,12,0,12
46273561,,,33,2,0,2
luhua,,,33,4,0,4
zhaoxingstar,,,11,7,0,7
131078453,,,33,2,0,2
sugicsq,,,33,0,289,289
chrisyoopsy,,,33,2,0,2
63868115,,,33,1,0,1
96789259,,,33,1,0,1
1720594,,,33,1,0,1
122772810,,,33,1,0,1
152252477,,,33,1,0,1
gogotroy,,,11,10,0,10
129346634,,,33,1,0,1
57478739,,,33,1,0,1
wenlizhou,,,33,5,0,5
su_maixne,,,33,1,0,1
56645342,,,33,1,0,1
Sherry_shiyi,,,33,1,0,1
2598648,,,33,1,0,1
commit,,,9,2,0,2
68318736,,,33,1,0,1
diamonster,,,33,2,0,2
wuxiaoxian,,,33,1,0,1
63284669,,,33,2,0,2
iLoovee,,,33,2,0,2
ruya,,,33,1,0,1
sunqc,,,33,6,0,6
dreamdreamdream,,,33,1,0,1
vikloxon,,,33,2,0,2
mochizukikaoru,,,33,3,0,3
76256802,,,33,1,0,1
52540923,,,33,1,0,1
2099482,,,11,4,0,4
2834785,,,33,1,0,1
mirocn,,,33,1,0,1
20033829,,,33,1,0,1
zaysoso,,,33,1,0,1
gum,,,33,2,0,2
tifaqu,,,33,1,0,1
wintam,,,33,2,0,2
sima1,,,33,3,0,3
cricketfish,,,33,1,0,1
53012265,,,33,1,0,1
EanY,,,33,1,0,1
pigmiura,,,33,1,0,1
bluecrow,,,33,4,0,4
albee___txm,,,11,2,0,2
nblinlin,,,33,1,0,1
ChannaDisco,,,33,6,0,6
reflect,,,33,3,0,3
